n_processes,repeat,scenario,is_safe,time_ms,comparisons,iterations
200,0,safe,True,0.39169995579868555,1000,200
200,0,unsafe,False,0.060999998822808266,200,1
200,1,safe,True,0.36479998379945755,1000,200
200,1,unsafe,False,0.05679996684193611,200,1
200,2,safe,True,0.3693999024108052,1000,200
200,2,unsafe,False,0.05630007945001125,200,1
200,3,safe,True,0.37219992373138666,1000,200
200,3,unsafe,False,0.0914999982342124,200,1
200,4,safe,True,0.3999000182375312,1000,200
200,4,unsafe,False,0.0619000056758523,200,1
200,5,safe,True,0.3797999816015363,1000,200
200,5,unsafe,False,0.06480002775788307,200,1
200,6,safe,True,0.37589995190501213,1000,200
200,6,unsafe,False,0.054699950851500034,200,1
200,7,safe,True,0.37080002948641777,1000,200
200,7,unsafe,False,0.06260001100599766,200,1
200,8,safe,True,0.38730003871023655,1000,200
200,8,unsafe,False,0.05450006574392319,200,1
200,9,safe,True,0.37519994657486677,1000,200
200,9,unsafe,False,0.054699950851500034,200,1
300,0,safe,True,0.8458000374957919,1500,300
300,0,unsafe,False,0.1295000547543168,300,1
300,1,safe,True,0.7371999090537429,1500,300
300,1,unsafe,False,0.10309997014701366,300,1
300,2,safe,True,0.7330999942496419,1500,300
300,2,unsafe,False,0.09870005305856466,300,1
300,3,safe,True,0.7785999914631248,1500,300
300,3,unsafe,False,0.09119999594986439,300,1
300,4,safe,True,0.7309000939130783,1500,300
300,4,unsafe,False,0.0887999776750803,300,1
300,5,safe,True,0.7335999980568886,1500,300
300,5,unsafe,False,0.09759992826730013,300,1
300,6,safe,True,0.7287999615073204,1500,300
300,6,unsafe,False,0.09240000508725643,300,1
300,7,safe,True,0.7400999311357737,1500,300
300,7,unsafe,False,0.08749996777623892,300,1
300,8,safe,True,0.7280000718310475,1500,300
300,8,unsafe,False,0.10079995263367891,300,1
300,9,safe,True,0.7387000368908048,1500,300
300,9,unsafe,False,0.0961000332608819,300,1
500,0,safe,True,1.990300021134317,2500,500
500,0,unsafe,False,0.1745999325066805,500,1
500,1,safe,True,1.900999923236668,2500,500
500,1,unsafe,False,0.18199998885393143,500,1
500,2,safe,True,1.8369000172242522,2500,500
500,2,unsafe,False,0.17300003673881292,500,1
500,3,safe,True,1.9151000306010246,2500,500
500,3,unsafe,False,0.16579998191446066,500,1
500,4,safe,True,1.92910002078861,2500,500
500,4,unsafe,False,0.15659991186112165,500,1
500,5,safe,True,1.9162000389769673,2500,500
500,5,unsafe,False,0.1669999910518527,500,1
500,6,safe,True,1.8533000256866217,2500,500
500,6,unsafe,False,0.16200006939470768,500,1
500,7,safe,True,1.8399000400677323,2500,500
500,7,unsafe,False,0.1661001006141305,500,1
500,8,safe,True,1.8632999854162335,2500,500
500,8,unsafe,False,0.1697000116109848,500,1
500,9,safe,True,1.868399907834828,2500,500
500,9,unsafe,False,0.16039994079619646,500,1
750,0,safe,True,4.247800097800791,3750,750
750,0,unsafe,False,0.2956000389531255,750,1
750,1,safe,True,4.420100012794137,3750,750
750,1,unsafe,False,1.4357001055032015,750,1
750,2,safe,True,4.126599989831448,3750,750
750,2,unsafe,False,0.3013000823557377,750,1
750,3,safe,True,4.09659999422729,3750,750
750,3,unsafe,False,0.26300002355128527,750,1
750,4,safe,True,4.117000033147633,3750,750
750,4,unsafe,False,0.2883999841287732,750,1
750,5,safe,True,4.13649994879961,3750,750
750,5,unsafe,False,0.2769000129774213,750,1
750,6,safe,True,4.098000004887581,3750,750
750,6,unsafe,False,0.3497001016512513,750,1
750,7,safe,True,4.056599922478199,3750,750
750,7,unsafe,False,0.291000003926456,750,1
750,8,safe,True,4.141899989917874,3750,750
750,8,unsafe,False,0.27009996119886637,750,1
750,9,safe,True,4.072900046594441,3750,750
750,9,unsafe,False,0.26949995663017035,750,1
1000,0,safe,True,7.188900024630129,5000,1000
1000,0,unsafe,False,0.3823000006377697,1000,1
1000,1,safe,True,7.491099997423589,5000,1000
1000,1,unsafe,False,0.3741999389603734,1000,1
1000,2,safe,True,7.228499976918101,5000,1000
1000,2,unsafe,False,0.36999990697950125,1000,1
1000,3,safe,True,7.148700067773461,5000,1000
1000,3,unsafe,False,0.3507999936118722,1000,1
1000,4,safe,True,7.152599981054664,5000,1000
1000,4,unsafe,False,0.34849997609853745,1000,1
1000,5,safe,True,7.1625999407842755,5000,1000
1000,5,unsafe,False,0.355200027115643,1000,1
1000,6,safe,True,7.229699986055493,5000,1000
1000,6,unsafe,False,0.3826000029221177,1000,1
1000,7,safe,True,7.094200002029538,5000,1000
1000,7,unsafe,False,0.3645999822765589,1000,1
1000,8,safe,True,7.1971999714151025,5000,1000
1000,8,unsafe,False,0.36260008346289396,1000,1
1000,9,safe,True,7.229499984532595,5000,1000
1000,9,unsafe,False,0.3664999967440963,1000,1
